member_id;visit_date;age;gender;membership_type;workout_type;workout_duration_minutes;calories_burned;check_in_time;attendance_status
1;11.10.2024;65;;Annual;HIIT;28;171;20:04:00;Absent
2;01.06.2024;31;Female;Quarterly;Strength Training;72;650;19:17:00;Absent
3;13.06.2024;23;Male;Quarterly;Cardio;70;633;7:24:00;Absent
4;05.02.2024;38;Female;Annual;CrossFit;64;362;7:18:00;Absent
5;13.07.2024;34;Female;Quarterly;Yoga;31;262;11:22:00;Absent
6;11.09.2024;22;;Quarterly;Cardio;63;518;20:08:00;Present
7;22.02.2024;56;;Quarterly;CrossFit;50;404;18:17:00;Absent
8;04.05.2024;33;Male;Annual;Yoga;99;959;21:59:00;Absent
9;10.02.2024;44;Female;Monthly;CrossFit;36;289;9:39:00;Present
10;14.08.2024;21;;Quarterly;Strength Training;94;643;11:29:00;Absent
11;11.10.2024;31;Female;Quarterly;Strength Training;110;738;22:43:00;Present
12;25.12.2024;24;Female;Quarterly;HIIT;86;547;8:17:00;Absent
13;28.06.2024;31;Female;Quarterly;HIIT;44;389;19:08:00;Absent
14;01.12.2024;60;;Annual;Yoga;99;644;14:45:00;Absent
15;08.07.2024;49;;Quarterly;CrossFit;99;643;20:18:00;Present
16;05.10.2024;35;;Monthly;HIIT;106;976;13:15:00;Absent
17;01.12.2024;59;;Quarterly;Yoga;34;244;9:13:00;Present
18;27.06.2024;35;;Annual;CrossFit;25;211;18:38:00;Present
19;31.10.2024;46;Female;Annual;CrossFit;55;402;9:06:00;Present
20;31.07.2024;18;Female;Annual;CrossFit;48;330;10:35:00;Present
21;02.01.2024;43;;Quarterly;Cardio;68;526;16:58:00;Absent
22;28.07.2024;35;Female;Annual;HIIT;41;248;14:24:00;Absent
23;06.05.2024;29;Male;Quarterly;HIIT;98;577;20:49:00;Absent
24;31.07.2024;24;Male;Monthly;CrossFit;104;589;21:37:00;Present
25;07.12.2024;58;Male;Annual;Yoga;54;288;12:09:00;Present
26;23.09.2024;35;Female;Annual;Yoga;40;358;14:09:00;Absent
27;12.06.2024;48;Male;Quarterly;CrossFit;77;620;14:48:00;Absent
28;02.05.2024;32;;Annual;HIIT;37;187;19:56:00;Absent
29;07.02.2024;31;;Quarterly;Strength Training;120;-991;21:23:00;Present
30;02.12.2024;27;Female;Annual;CrossFit;96;621;13:16:00;Absent
31;10.03.2024;40;Male;Quarterly;Cardio;52;455;9:43:00;Present
32;19.12.2024;31;Male;Annual;CrossFit;59;374;19:23:00;Present
