ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.29,205.68,399.34,4.69,18.41,251.1,0.22,78.72,1.86,
4.18,148.13,272.35,1.84,43.58,167.96,0.55,27.95,0.48,
7.45,227.85,429.54,1.47,,243.29,0.4,23.76,0.06,1.0
8.16,368.28,604.61,2.92,48.53,386.39,0.76,45.99,0.05,1.0
6.8,211.76,253.17,1.97,52.43,179.22,1.69,32.19,0.75,1.0
6.72,113.35,253.17,1.35,35.69,139.08,4.03,26.75,0.53,1.0
8.39,419.55,615.84,1.41,58.37,421.27,0.29,20.26,0.09,1.0
7.03,233.01,453.49,1.82,,304.52,0.11,8.26,0.15,1.0
6.39,81.28,206.11,3.05,11.87,119.28,0.5,52.7,0.69,1.0
7.01,286.04,408.51,2.43,4.29,262.7,0.15,42.25,0.42,1.0
7.14,170.49,207.32,1.17,85.19,166.72,1.8,4.55,0.44,1.0
8.64,166.68,206.85,3.83,142.25,149.13,0.7,45.86,0.12,1.0
8.14,143.25,348.39,1.09,14.77,226.63,0.97,25.22,0.5,1.0
8.32,10.0,10.0,1.26,40.59,5.0,0.16,30.13,0.74,1.0
8.06,47.15,10.0,3.17,22.26,8.03,1.38,20.87,1.08,1.0
8.16,114.6,187.54,3.5,58.85,111.67,3.63,56.87,0.67,1.0
6.85,10.0,97.43,2.35,25.66,21.24,0.66,33.1,0.43,1.0
7.24,240.63,362.85,0.71,61.31,276.7,3.28,11.38,0.56,1.0
6.61,35.3,118.4,2.1,76.6,80.06,0.04,32.77,0.33,1.0
4.8,100.25,17.54,0.63,1.05,19.36,0.04,1.87,0.13,
7.95,433.12,593.13,4.48,60.86,384.38,3.22,73.8,1.07,
7.51,183.11,254.84,2.29,,150.95,1.2,27.43,0.38,1.0
8.45,256.15,313.51,2.8,39.74,200.06,0.21,49.49,10.4,
6.49,12.27,15.05,1.63,37.05,5.0,0.45,34.14,2.31,1.0
3.53,152.95,191.12,3.81,40.83,169.77,0.71,48.36,2.1,
6.4,267.2,322.18,1.5,37.52,184.73,1.21,13.99,0.44,1.0
7.48,54.16,69.8,1.14,30.2,24.73,1.85,18.25,10.84,
7.99,212.32,375.14,2.3,39.37,235.04,0.09,49.61,0.25,1.0
7.23,22.69,179.87,2.88,59.53,142.68,1.07,37.27,1.38,1.0
7.84,140.84,241.66,4.13,60.65,157.37,0.65,57.9,0.17,
6.63,148.97,179.66,3.61,54.61,92.06,0.91,57.43,3.61,1.0
6.07,449.56,670.46,3.2,27.06,460.88,0.71,54.49,0.04,1.0
7.85,203.6,297.3,1.31,93.21,207.87,0.6,24.99,0.42,1.0
8.8,26.01,88.46,1.29,111.01,68.27,0.23,19.73,0.36,1.0
6.6,179.86,464.51,1.12,,316.25,0.64,13.78,0.15,1.0
8.38,10.0,55.83,1.85,56.57,84.18,0.21,31.06,1.48,1.0
7.43,189.85,341.77,0.09,31.27,265.85,0.05,,0.48,1.0
6.33,10.0,10.0,3.37,87.02,5.0,0.47,69.17,0.13,1.0
6.49,51.55,34.36,0.98,49.5,54.81,0.03,12.77,0.24,1.0
7.41,302.91,339.37,0.85,52.13,228.26,0.83,14.6,0.64,1.0
7.08,274.79,447.69,1.59,69.8,300.98,0.08,44.91,0.18,1.0
6.35,189.73,334.27,0.66,38.1,183.43,0.58,2.45,1.06,
6.04,153.16,276.87,2.64,117.1,176.56,3.92,62.99,0.09,1.0
6.72,150.09,239.78,1.03,70.39,139.6,0.01,22.91,0.15,1.0
7.56,10.0,10.0,2.5,87.26,23.06,0.46,41.99,0.08,1.0
7.39,99.63,156.03,2.92,41.18,122.84,1.12,50.31,0.06,1.0
7.0,147.26,207.87,1.45,45.09,93.63,0.17,13.34,0.18,1.0
7.56,317.34,511.42,1.28,82.46,331.99,0.82,2.75,3.55,1.0
8.23,244.11,368.72,1.2,78.45,262.11,0.3,6.16,0.05,1.0
7.72,27.69,10.0,0.92,0.05,5.0,0.25,24.64,16.42,
7.3,130.3,364.82,1.58,55.11,251.71,2.25,14.34,0.16,1.0
8.14,165.63,222.98,2.07,68.95,151.96,0.23,14.47,0.48,1.0
6.63,65.22,164.62,0.62,44.79,113.83,0.47,8.46,0.68,1.0
7.22,198.61,422.34,1.36,65.16,269.09,0.19,26.12,11.9,
7.24,248.5,506.2,2.16,46.48,304.7,0.33,32.75,,1.0
6.41,313.43,486.26,2.03,,293.64,0.35,36.58,6.22,
7.06,68.17,132.16,,,100.09,0.4,11.55,0.5,1.0
5.74,58.8,238.16,2.63,89.0,155.19,1.02,45.22,0.36,
8.93,243.65,366.25,3.24,40.22,235.29,1.36,47.04,0.24,1.0
6.65,225.09,495.11,1.43,57.59,313.34,0.71,15.97,0.8,1.0
8.67,129.49,204.17,0.27,49.85,126.6,0.94,11.68,0.21,1.0
7.43,169.65,262.87,1.24,16.99,191.8,1.68,21.29,0.13,1.0
7.85,91.52,78.73,1.21,31.32,44.47,7.73,9.48,0.19,
7.01,125.54,60.76,3.2,63.16,12.67,0.61,61.02,14.51,
7.57,209.27,462.51,0.91,67.24,315.5,2.76,16.22,0.12,1.0
7.92,340.13,571.25,1.64,137.54,367.21,0.67,31.16,0.47,1.0
7.93,157.54,285.6,3.68,30.89,186.27,1.52,51.25,1.08,1.0
8.02,322.11,500.71,2.16,116.83,357.61,0.85,43.72,0.45,1.0
7.11,234.18,372.33,2.2,15.58,241.6,2.15,17.08,0.3,1.0
7.02,84.96,170.98,1.9,69.54,116.92,0.6,45.24,0.8,1.0
4.97,201.32,372.28,2.98,57.11,218.4,1.19,25.28,0.69,
7.82,308.74,607.61,2.4,44.97,390.55,0.63,22.29,0.23,1.0
8.27,225.09,292.83,3.85,49.77,202.53,1.95,60.32,0.46,1.0
8.69,390.72,612.93,3.96,25.1,367.3,5.18,54.13,0.65,1.0
7.64,51.89,10.0,2.31,86.16,10.52,0.28,31.42,0.14,1.0
4.07,263.11,464.38,1.96,16.3,303.86,0.64,24.13,0.23,
6.04,157.6,317.41,2.16,62.7,207.14,0.08,24.62,0.06,1.0
8.23,90.2,240.2,1.43,80.23,176.87,0.15,24.67,2.2,1.0
5.96,208.96,318.35,2.13,105.37,213.62,2.65,31.52,0.04,
7.13,10.0,10.0,0.56,88.87,36.06,0.78,17.22,12.04,
7.22,246.07,256.07,1.29,72.9,146.57,0.5,20.12,0.33,
7.34,157.47,371.42,2.79,24.49,244.14,1.11,37.63,1.0,1.0
7.43,371.03,595.58,2.54,18.57,388.82,0.82,45.82,0.22,1.0
7.51,196.15,196.35,1.87,4.46,106.24,0.34,9.77,0.73,1.0
5.47,112.94,138.3,2.42,0.63,109.02,0.26,10.47,9.97,
7.41,128.57,199.65,3.51,49.94,176.27,0.89,36.71,0.51,1.0
5.62,241.42,483.08,1.61,20.9,313.66,0.21,20.78,0.93,
7.99,150.36,365.75,0.56,97.97,247.84,0.15,12.39,0.01,1.0
6.96,154.93,194.05,2.63,26.84,127.82,0.38,12.7,1.32,
5.67,316.9,402.65,2.54,53.77,247.45,1.98,37.93,0.88,
6.75,169.71,319.42,2.76,39.41,171.2,0.04,37.85,1.39,1.0
6.94,239.28,493.73,0.8,,306.81,1.79,13.41,0.79,1.0
8.35,10.0,159.59,0.5,93.58,75.89,0.97,,1.05,1.0
7.56,91.64,234.47,2.26,77.82,186.49,0.04,60.13,0.11,1.0
7.68,127.26,221.58,2.19,82.42,141.72,0.92,33.25,17.03,
8.34,85.96,10.0,1.64,73.8,5.0,0.56,12.47,0.19,1.0
7.32,249.19,359.22,3.45,19.62,251.28,1.84,53.0,7.32,
8.0,226.58,352.21,1.99,20.4,206.5,2.38,44.8,0.65,1.0
7.95,160.61,301.02,3.23,68.08,180.33,0.34,35.6,18.7,
6.37,122.69,253.08,2.88,111.72,165.87,1.53,28.23,0.03,1.0
8.58,80.44,16.93,0.91,65.44,31.58,0.37,12.47,0.75,1.0
6.26,139.56,215.87,1.11,89.14,150.35,0.35,16.37,1.18,1.0
8.13,33.74,231.46,0.72,28.97,155.41,0.21,17.86,0.72,1.0
6.19,50.05,139.54,2.43,93.91,92.27,1.13,51.22,0.87,1.0
7.88,117.73,267.74,2.1,33.22,182.04,0.3,39.27,0.45,1.0
8.89,201.17,380.81,3.35,59.61,251.56,0.63,36.37,1.09,1.0
7.23,434.49,677.24,2.6,35.35,419.6,1.67,28.22,0.34,1.0
7.19,195.58,334.92,0.7,85.57,218.62,1.57,2.55,2.23,1.0
7.89,207.06,351.51,1.54,86.11,207.01,1.93,30.85,0.05,1.0
7.14,236.74,285.11,,,186.94,0.18,6.07,10.01,
8.85,10.0,10.0,2.29,103.01,5.0,0.88,47.02,0.51,1.0
7.55,270.03,294.7,4.79,145.06,242.34,2.46,77.44,0.43,
7.14,153.66,312.05,2.13,35.79,202.03,0.04,25.69,0.65,1.0
6.97,480.05,792.65,2.2,44.93,487.14,1.58,31.05,0.92,1.0
6.65,142.86,261.53,1.98,99.58,167.31,0.28,15.13,0.99,1.0
6.9,222.36,360.31,2.36,52.67,244.59,1.11,41.62,0.1,1.0
7.12,198.06,293.06,1.84,49.84,223.95,1.26,21.4,0.11,1.0
7.01,61.45,66.26,2.62,125.88,31.28,2.6,51.51,0.01,1.0
6.87,279.48,528.56,1.23,,311.92,0.71,24.42,0.07,1.0
9.08,214.09,450.39,1.27,18.44,309.09,1.89,38.42,0.15,1.0
6.58,400.08,458.21,0.71,66.71,270.22,0.05,14.81,0.64,1.0
7.52,46.67,118.12,1.97,,68.06,0.55,33.52,0.32,1.0
7.87,383.3,580.56,0.89,35.08,372.21,0.58,11.59,0.71,1.0
7.9,10.0,19.63,3.45,34.71,11.37,0.77,47.94,0.33,1.0
7.35,236.44,417.37,1.57,88.47,285.07,0.66,20.95,0.41,1.0
7.21,436.49,738.09,0.03,77.71,466.09,3.44,10.46,0.06,1.0
7.76,84.78,101.89,0.86,,60.76,0.08,,0.75,1.0
7.61,10.0,186.74,2.14,22.28,121.1,0.31,32.66,0.71,1.0
3.32,200.27,319.93,2.65,22.4,210.95,3.46,23.12,0.18,
6.15,62.1,199.3,2.35,41.34,131.5,0.59,39.04,0.2,1.0
7.03,22.22,10.0,1.18,6.1,15.22,0.85,13.08,0.12,1.0
6.48,136.41,313.71,1.43,68.07,220.79,0.08,26.47,11.91,
6.87,10.0,87.54,1.31,22.23,64.75,0.33,12.25,0.69,1.0
7.43,223.15,394.72,2.57,73.54,265.64,0.04,35.93,0.47,1.0
7.69,17.05,116.12,2.12,49.89,43.83,0.15,38.07,0.14,1.0
8.82,342.22,609.99,1.55,11.08,397.5,1.0,24.55,0.09,1.0
6.97,26.34,143.35,1.34,105.53,102.77,1.44,35.54,0.03,1.0
8.02,49.69,235.59,1.48,106.71,167.71,2.04,17.34,0.02,1.0
7.64,328.52,462.7,2.01,61.61,286.91,0.29,24.45,18.94,
8.44,10.0,53.83,3.34,40.43,21.81,0.4,62.48,0.05,1.0
7.86,198.36,345.49,2.19,7.75,213.09,0.84,29.13,16.42,
6.59,374.5,561.43,1.66,92.84,375.66,0.09,20.82,0.22,1.0
3.3,10.0,10.0,1.59,82.91,27.18,1.64,27.61,0.29,
7.65,160.9,336.93,3.7,17.44,210.85,0.66,53.89,6.11,
6.98,222.5,351.98,2.82,22.53,246.94,3.37,39.26,0.54,1.0
6.62,329.72,456.36,2.98,68.28,299.11,0.12,37.75,0.52,1.0
6.39,10.0,52.61,2.75,2.98,31.71,0.14,54.83,0.15,1.0
7.53,14.04,35.91,1.95,24.97,19.11,0.43,27.74,0.83,1.0
8.61,156.01,404.39,3.2,8.38,277.78,0.23,42.35,1.25,1.0
7.07,195.98,359.4,0.53,9.67,240.12,1.19,5.01,0.19,1.0
7.87,211.77,350.1,3.55,21.2,273.08,2.93,56.81,0.01,1.0
7.32,178.84,369.29,2.74,86.24,222.99,0.09,55.74,1.15,1.0
6.37,75.55,164.0,2.49,,116.96,0.28,35.6,1.29,1.0
7.99,137.46,346.45,1.24,67.34,214.61,0.27,10.02,0.03,1.0
6.52,219.02,358.61,2.93,60.32,215.71,0.71,63.15,,1.0
7.42,147.06,157.13,3.15,88.73,101.92,0.6,48.53,0.85,1.0
7.13,349.04,673.15,1.3,60.28,440.3,1.3,18.37,0.18,1.0
8.11,205.73,394.77,1.33,34.85,314.96,1.32,20.61,1.23,1.0
6.55,62.17,61.74,0.97,17.39,36.45,0.85,2.04,0.12,1.0
7.71,319.39,431.31,2.55,89.62,257.75,0.89,37.77,0.99,1.0
6.73,10.0,105.06,1.9,69.88,73.75,1.85,36.12,0.04,1.0
6.99,266.01,457.42,4.12,30.27,255.83,0.51,74.04,0.15,
4.49,333.19,531.72,0.47,86.36,343.78,0.01,3.41,1.81,
9.07,76.42,135.86,1.13,32.16,88.63,0.24,18.82,0.13,
7.84,171.77,492.68,2.01,49.96,336.13,0.04,42.56,0.07,1.0
6.79,254.59,382.56,2.67,25.82,268.13,0.5,40.35,0.97,1.0
6.5,354.61,464.41,2.62,71.35,291.8,0.44,46.49,0.06,1.0
7.0,413.45,679.36,2.08,10.23,438.57,0.1,35.51,13.67,
7.97,99.0,250.92,2.35,38.06,147.78,1.41,28.64,0.2,1.0
5.89,63.9,149.25,2.12,23.82,74.45,0.81,22.62,0.5,
7.29,161.75,122.1,3.05,60.55,85.56,0.26,56.33,0.62,1.0
8.82,127.6,136.84,1.44,65.54,63.47,1.42,,1.07,1.0
6.49,202.75,284.58,1.56,5.83,176.68,1.1,16.67,0.39,1.0
7.46,238.76,368.23,2.69,66.26,219.45,0.21,26.39,0.25,1.0
9.16,180.15,355.34,3.57,,241.96,4.07,64.19,0.22,
7.91,269.23,465.44,1.37,137.68,338.56,0.2,34.13,0.94,1.0
